,travel_1,comserexp_1,pop_1,real_gni_pc_1,real_travel_mil_1,rtrend_dev_travel_1,arrivals_2,travel_2,comserexp_2,pop_2,real_gni_pc_2,real_travel_mil_2,rtrend_dev_travel_2,diff_gni,mega_past_2,r1,r2
22,,,-0.2506499811504932,-0.11184578626808664,,,-0.5391804775908448,-0.400444625815864,-0.45157082290624195,-0.22511332326340078,-0.5956857711364397,-0.4738610234318307,-0.20048323156783365,0.11184578622753184,0.0,0,1
23,,,-0.3086581004431485,-0.11184578626289236,,,,-1.067404954400021,-0.4571697030142941,-0.3019141521877422,-0.5749546844498853,-0.4837554504001997,-0.21243390104832108,0.11184578622348004,0.0,0,0
24,0.374290702648042,-0.47689792817921356,-0.09443274212800068,-0.11184578571934803,4.156698825166719,2.0552302509813964,-0.47132743866007876,0.2632600373304427,-0.40107869714311173,-0.04880937076394473,-0.4315710879264967,-0.37408076754962805,1.8883528054240792,0.11184578568783743,0.0,1,1
25,,,-0.3027136132442031,-0.11184578567907855,,,-0.4187960536814212,0.8044652019731843,-0.40771643742661573,-0.3001877513279119,-0.309859089609658,-0.3557927289713213,0.03914934557803467,0.11184578565427539,0.0,0,1
26,,,-0.22734006321912137,,,,-0.05060732860779448,-0.06813635078045138,-0.2060598334379284,-0.26458548111689806,0.18299119267944544,-0.08969799778626138,-0.14549988714896953,,0.0,0,1
27,-0.5584445223943082,0.13398725628500774,-0.27382619884237586,-0.11184578618864506,-0.33369847551745757,-0.26267151272935246,-0.18498448750409263,,0.4937526501847241,-0.29383331240909705,2.7313828544017267,,,0.11184578633144193,0.0,1,0
28,0.9938493460242056,-0.5460878600848558,-0.2739331891614769,-0.11184578609051718,-0.11720871215284057,-1.484519250528972,-0.24369143708589597,2.0978551889309824,-0.3791049738569214,-0.26827621464443363,-0.4315245613623554,-0.2003951119527818,-0.28409661235123385,0.11184578605900915,0.0,1,1
29,,,-0.169506033858752,-0.1118457861257854,,,-0.42559699191526523,,,-0.12335341960472163,-0.4481768196828755,,,0.11184578609335968,0.0,0,0
30,,,-0.256768049879997,-0.11184578626657905,,,-0.4878998398735838,0.4474030919314848,-0.44415846320055646,-0.24507948150341569,-0.4607311369493407,-0.4504073541876722,-0.24040282992878378,0.11184578623346147,0.0,0,1
31,,,0.02643809274547604,-0.11184578625072583,,,0.12223030857644938,0.30291153856940956,-0.17061259472139342,0.1334033702137894,-0.5669301771988489,0.10435623634417801,0.19661505321342254,0.11184578621175571,0.0,0,1
32,1.5607112804020695,0.6250987678985412,0.013666758904946088,-0.1118457861710072,,,3.9951692034910486,0.32638176671491115,1.4851285690052085,-0.061080878085368634,1.13506260327889,3.1692862108023188,-0.055717480164600715,0.11184578622583233,1.0,0,1
33,,,-0.00830313446570997,,,,-0.5309724486879295,-1.0597732856641418,-0.4454254926652848,0.11700594484634556,-0.6451405599965945,-0.4735559014020524,-0.206738253839477,,0.0,0,1
34,-0.1940079356070244,-0.3310455295475182,-0.2771066327446129,-0.1118457861988344,-0.44440204150168117,-0.3002374400920688,-0.2898127423498959,-1.2676015262781686,-0.1415450869481342,-0.29489256874639946,2.035119653889311,-0.31795644678549656,-0.14734102607897376,0.11184578630326084,0.0,1,1
35,-0.7803772070999373,3.332126398141397,0.17469057849689507,-0.11184578619749672,0.5392658357513327,0.5897241451451509,5.610431119880931,-0.19419944839687997,1.8441957885781108,0.04572287947822955,1.7292876022061936,2.808450435650298,0.208304932960209,0.11184578628506903,1.0,1,1
36,-0.9112910485478066,3.002765119888624,0.200363265212343,-0.11184578619821328,0.7904208280074881,-0.11128854483552851,1.8426331666274847,-1.2212317095786749,3.7834829328447257,0.041590794231933695,2.0045502840345,1.9286915615175597,0.5458307667622161,0.11184578630095507,0.0,1,1
37,,,-0.27535335289820356,,,,-0.4767994579286889,-0.10569601090864993,-0.4470612082426469,-0.29989083421838736,-0.5428847645829059,-0.4629473082620819,-0.20925649842951172,,0.0,0,1
